epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,188.487,1.17363,1.15131,1.45231,0.75001,0.40851,0.43539,0.2831,1.22053,1.17756,1.45535,0.000456863,0.000456863,0.000456863
43,193.358,1.13786,1.13362,1.43729,0.74803,0.41104,0.45549,0.28537,1.22905,1.12417,1.4741,0.00044925,0.00044925,0.00044925
44,198.333,1.1687,1.12688,1.44344,0.77286,0.40425,0.45614,0.3014,1.21114,1.12809,1.45296,0.000441637,0.000441637,0.000441637
45,203.403,1.15585,1.12159,1.42515,0.73226,0.37924,0.43778,0.30503,1.12366,1.1101,1.39269,0.000434024,0.000434024,0.000434024
46,208.414,1.15512,1.11376,1.44002,0.7687,0.40035,0.45082,0.31002,1.06384,1.24579,1.3549,0.000426411,0.000426411,0.000426411
47,213.361,1.16805,1.12416,1.44897,0.74687,0.38105,0.48778,0.33542,1.12918,1.0915,1.37712,0.000418797,0.000418797,0.000418797
48,217.852,1.16205,1.11024,1.42663,0.74128,0.42296,0.44526,0.29208,1.21165,1.15285,1.41495,0.000411184,0.000411184,0.000411184
49,222.682,1.12703,1.0481,1.41795,0.74996,0.4267,0.46961,0.30861,1.17621,1.07319,1.39754,0.000403571,0.000403571,0.000403571
50,227.217,1.10481,1.0529,1.39849,0.54127,0.4411,0.46784,0.32476,1.12655,1.09748,1.41819,0.000395958,0.000395958,0.000395958
51,231.896,1.1112,1.04209,1.41262,0.75617,0.37636,0.43353,0.3003,1.1191,1.15827,1.40745,0.000388345,0.000388345,0.000388345
52,236.673,1.12891,1.05351,1.4229,0.73147,0.41828,0.46291,0.31266,1.17824,1.11264,1.4341,0.000380732,0.000380732,0.000380732
53,241.43,1.10043,1.04092,1.40506,0.70876,0.43188,0.47576,0.31748,1.18457,1.07664,1.39997,0.000373119,0.000373119,0.000373119
54,245.934,1.09741,1.04642,1.39285,0.73575,0.44108,0.47079,0.32387,1.13091,1.08716,1.38523,0.000365506,0.000365506,0.000365506
55,250.492,1.12329,1.06758,1.40279,0.75119,0.41122,0.46412,0.31502,1.13284,1.01826,1.38526,0.000357893,0.000357893,0.000357893
56,255.357,1.12366,1.05981,1.41504,0.79417,0.41738,0.49939,0.33956,1.13267,1.06988,1.3902,0.00035028,0.00035028,0.00035028
57,259.871,1.09754,1.01602,1.39713,0.75731,0.41748,0.45736,0.31157,1.0805,1.04306,1.36309,0.000342666,0.000342666,0.000342666
58,264.13,1.08929,0.9905,1.39878,0.76227,0.40653,0.4779,0.34181,1.05639,1.10759,1.34164,0.000335053,0.000335053,0.000335053
59,268.501,1.12331,1.01521,1.39895,0.7629,0.39838,0.46112,0.32467,1.1139,1.05983,1.38854,0.00032744,0.00032744,0.00032744
60,272.825,1.09243,1.01054,1.39862,0.76114,0.43382,0.48841,0.35043,1.03207,1.05392,1.33409,0.000319827,0.000319827,0.000319827
61,277.165,1.09473,0.99128,1.38587,0.75754,0.41961,0.50437,0.36952,1.01924,1.0179,1.34846,0.000312214,0.000312214,0.000312214
62,281.68,1.0855,1.01592,1.39602,0.76259,0.42056,0.46673,0.32933,1.06207,1.07,1.35448,0.000304601,0.000304601,0.000304601
63,286.01,1.08728,1.01642,1.405,0.72443,0.41451,0.48499,0.34647,1.06938,1.10754,1.36192,0.000296988,0.000296988,0.000296988
64,290.397,1.08601,1.00019,1.39616,0.71031,0.43677,0.50078,0.34618,1.15353,1.0423,1.37969,0.000289375,0.000289375,0.000289375
65,295.124,1.07653,0.98945,1.39676,0.79599,0.39815,0.51016,0.3753,1.04839,1.04361,1.35309,0.000281762,0.000281762,0.000281762
66,299.91,1.06061,0.96125,1.37292,0.75816,0.40435,0.50233,0.37687,1.03547,1.00158,1.3374,0.000274148,0.000274148,0.000274148
67,304.976,1.06858,0.97016,1.38234,0.74934,0.43056,0.49557,0.35959,1.0644,1.00263,1.35912,0.000266535,0.000266535,0.000266535
68,310.104,1.05827,0.94551,1.35904,0.7466,0.37957,0.4563,0.33352,1.02467,1.04707,1.33664,0.000258922,0.000258922,0.000258922
69,315.055,1.03391,0.92853,1.34076,0.76305,0.40131,0.48303,0.36469,1.00309,1.06856,1.30983,0.000251309,0.000251309,0.000251309
70,320.109,1.05552,0.95825,1.3701,0.76174,0.41674,0.49164,0.3601,1.03532,1.05375,1.31872,0.000243696,0.000243696,0.000243696
71,325.216,1.04779,0.93487,1.37107,0.74598,0.43617,0.47187,0.33948,1.03914,1.05608,1.33448,0.000236083,0.000236083,0.000236083
72,330.054,1.04094,0.94857,1.36366,0.7679,0.4282,0.52575,0.36985,1.07321,1.0218,1.35322,0.00022847,0.00022847,0.00022847
73,334.62,1.03389,0.9308,1.35521,0.7702,0.42508,0.50885,0.37636,1.01639,1.00909,1.31077,0.000220857,0.000220857,0.000220857
74,339.116,1.04589,0.91951,1.37238,0.78786,0.41396,0.50041,0.3639,1.02964,1.01528,1.32533,0.000213244,0.000213244,0.000213244
75,343.657,1.02561,0.9564,1.3518,0.79474,0.38823,0.50914,0.37132,0.99611,0.98218,1.30329,0.000205631,0.000205631,0.000205631
76,348.238,1.02353,0.9471,1.36188,0.77879,0.4198,0.50861,0.37305,1.03459,0.96391,1.33768,0.000198018,0.000198018,0.000198018
77,352.809,1.01038,0.92974,1.3489,0.78953,0.4172,0.50236,0.36805,1.01515,1.01427,1.32368,0.000190404,0.000190404,0.000190404
78,357.555,1.01889,0.9156,1.34329,0.79053,0.41306,0.50512,0.35655,1.14365,0.98994,1.38405,0.000182791,0.000182791,0.000182791
79,362.009,1.02843,0.93211,1.33607,0.77191,0.42537,0.50927,0.3778,1.05246,0.97269,1.32711,0.000175178,0.000175178,0.000175178
80,366.452,1.03215,0.9212,1.35309,0.77724,0.40612,0.51769,0.38176,1.03836,1.0109,1.34523,0.000167565,0.000167565,0.000167565
81,370.898,1.02277,0.90678,1.33625,0.78524,0.40301,0.53266,0.3864,1.0106,0.99249,1.32269,0.000159952,0.000159952,0.000159952
82,375.358,0.99241,0.89172,1.32138,0.6195,0.48585,0.5372,0.38886,1.01056,0.95534,1.30453,0.000152339,0.000152339,0.000152339
83,379.79,0.99789,0.8978,1.32368,0.79945,0.40645,0.50728,0.36968,0.97056,1.01882,1.28392,0.000144726,0.000144726,0.000144726
84,384.204,1.02049,0.89327,1.33711,0.78697,0.4285,0.50793,0.37703,1.0096,1.01049,1.309,0.000137113,0.000137113,0.000137113
85,388.652,0.99827,0.87972,1.3203,0.78545,0.43005,0.49041,0.35457,1.04186,0.97603,1.32207,0.0001295,0.0001295,0.0001295
86,393.076,0.99446,0.90223,1.3354,0.77346,0.43056,0.48621,0.35444,1.02742,0.94224,1.31577,0.000121887,0.000121887,0.000121887
87,397.483,0.99312,0.87465,1.32905,0.75956,0.42763,0.5132,0.39757,0.96485,0.96111,1.27258,0.000114273,0.000114273,0.000114273
88,401.998,0.99631,0.88662,1.33517,0.48333,0.51801,0.51881,0.39002,1.00289,0.96031,1.28393,0.00010666,0.00010666,0.00010666
89,406.441,0.99251,0.86514,1.32711,0.77948,0.43296,0.50826,0.3817,0.97359,0.99195,1.27113,9.90472e-05,9.90472e-05,9.90472e-05
90,410.992,0.99339,0.87408,1.31881,0.78354,0.42677,0.5061,0.38466,1.01692,0.98847,1.29088,9.14341e-05,9.14341e-05,9.14341e-05
91,435.258,0.74947,0.73898,1.21468,0.77513,0.41447,0.49233,0.37592,0.99334,1.03617,1.32703,8.3821e-05,8.3821e-05,8.3821e-05
92,439.354,0.69621,0.60796,1.16482,0.9531,0.41541,0.466,0.33603,1.01012,1.04369,1.33691,7.62079e-05,7.62079e-05,7.62079e-05
93,443.45,0.67789,0.56405,1.12476,0.95329,0.42131,0.48173,0.36557,0.98891,0.96151,1.316,6.85948e-05,6.85948e-05,6.85948e-05
94,447.659,0.71452,0.54519,1.15147,0.94267,0.43059,0.47788,0.34957,0.98447,0.972,1.32595,6.09817e-05,6.09817e-05,6.09817e-05
95,451.909,0.67048,0.52701,1.14098,0.93825,0.42733,0.48476,0.35134,1.01896,0.96577,1.32885,5.33686e-05,5.33686e-05,5.33686e-05
96,456.104,0.67847,0.53531,1.14413,0.94535,0.4282,0.48995,0.36045,1.00793,0.95066,1.31718,4.57555e-05,4.57555e-05,4.57555e-05
97,460.262,0.66202,0.51592,1.13654,0.94797,0.4131,0.48896,0.36353,0.98627,0.95489,1.30591,3.81424e-05,3.81424e-05,3.81424e-05
98,464.488,0.66956,0.51618,1.13698,0.9515,0.42642,0.48644,0.3597,1.00209,0.94831,1.31677,3.05293e-05,3.05293e-05,3.05293e-05
99,468.695,0.64824,0.49657,1.11907,0.94477,0.42168,0.48623,0.36149,1.00887,0.94726,1.31803,2.29162e-05,2.29162e-05,2.29162e-05
100,472.934,0.67045,0.5097,1.13497,0.94834,0.42233,0.48616,0.36128,1.01098,0.95268,1.31714,1.53031e-05,1.53031e-05,1.53031e-05
